index,list_price,play_star_rating,prod_id,set_name,star_rating
142,104.986,4.6,42064.0,Ocean Explorer,4.6
143,34.986,4.3,41183.0,The Goblin King's Evil Dragon,4.3
144,10.1322,3.0,41605.0,Thanos,5.0
145,12.1524,4.6,41599.0,Wonder Woman™,5.0
146,246.87,4.7,70618.0,Destiny's Bounty,4.9
147,54.8878,5.0,41323.0,Snow Resort Chalet,5.0
148,69.986,3.9,75177.0,First Order Heavy Scout Walker™,4.0
149,17.7429,4.8,75884.0,1968 Ford Mustang Fastback,4.9
150,14.8122,5.0,75887.0,Porsche 919 Hybrid,5.0
151,12.1878,2.3,41327.0,Mia's Bedroom,3.0
152,42.6878,4.4,75169.0,Duel on Naboo™,4.4
153,38.352,4.0,42074.0,Racing Yacht,4.8
154,36.5878,3.9,76085.0,Battle of Atlantis,4.2
155,42.6878,4.0,42074.0,Racing Yacht,4.8
156,19.152,4.2,75198.0,Tatooine™ Battle Pack,4.1
157,77.88,3.2,21035.0,Solomon R. Guggenheim Museum®,4.6
158,30.362,5.0,71247.0,Harry Potter™ Team Pack,5.0
159,25.398000000000003,3.0,41614.0,Owen & Blue,5.0
160,67.0878,4.7,70631.0,Garmadon's Volcano Lair,4.3
161,72.4971,5.0,10813.0,Big Construction Site,5.0
162,31.192200000000003,5.0,75888.0,Porsche 911 RSR and 911 Turbo 3.0,4.8
163,24.3878,4.5,60107.0,Fire Ladder Truck,4.5
164,31.192200000000003,4.2,70610.0,Flying Jelly Sub,4.6
165,10.9678,4.1,7280.0,Straight & Crossroad Plates,3.5
166,42.6878,5.0,45502.0,EV3 Large Servo Motor,5.0
167,60.9878,4.4,60166.0,Heavy-duty Rescue Helicopter,4.4
168,6.0878000000000005,2.7,10709.0,Orange Creativity Box,4.7
169,49.2971,5.0,45502.0,EV3 Large Servo Motor,5.0
170,24.1329,5.0,45506.0,EV3 Color Sensor,5.0
171,17.7429,4.3,75166.0,First Order Transport Speeder Battle Pack,4.6
172,42.6878,5.0,70639.0,Street Race of Snake Jaguar,4.7
173,329.3878,4.3,21137.0,The Mountain Cave,4.5
174,90.986,5.0,75211.0,Imperial TIE Fighter™,4.7
175,36.5878,5.0,10857.0,Piston Cup Race,5.0
176,121.7971,4.0,21134.0,The Waterfall Base,4.1
177,143.88,5.0,75930.0,Indoraptor Rampage at Lockwood Estate,5.0
178,85.3878,3.8,70643.0,Temple of Resurrection,4.2
179,49.99,3.8,75147.0,StarScavenger™,3.6
180,54.8878,4.6,75174.0,Desert Skiff Escape,4.6
181,27.2922,4.6,10696.0,LEGO® Medium Creative Brick Box,4.6
182,4.8678,4.3,71020.0,THE LEGO® BATMAN MOVIE Series 2,4.8
183,36.5878,5.0,41322.0,Snow Resort Ice Rink,4.5
184,24.3878,5.0,10847.0,Number Train,5.0
185,41.88,4.7,41150.0,Vaiana's Ocean Voyage,4.7
186,12.1878,4.0,41604.0,Iron Man MK50,4.7
187,19.99,3.0,41611.0,Marty McFly & Doc Brown,5.0
188,15.48,5.0,71344.0,Excalibur Batman™ Fun Pack,5.0
189,18.258,4.3,10692.0,LEGO® Creative Bricks,4.1
190,15.799,4.0,60178.0,Speed Record Car,5.0
191,10.1322,2.0,41608.0,Han Solo™,4.0
192,179.3922,4.7,60052.0,Cargo Train,4.4
193,249.99,4.3,21137.0,The Mountain Cave,4.5
194,19.4922,4.0,41310.0,Heartlake Gift Delivery,4.0
195,12.1878,4.5,42084.0,Hook Loader,4.5
196,189.9924,4.5,42078.0,Mack Anthem,4.7
197,163.2929,2.0,70357.0,Knighton Castle,2.6
198,38.352,4.5,60165.0,4 x 4 Response Unit,5.0
199,152.4878,5.0,21136.0,The Ocean Monument,5.0
200,15.799,4.1,7280.0,Straight & Crossroad Plates,3.5
201,91.439,3.7,21039.0,Shanghai,4.9
202,167.952,4.6,70917.0,The Ultimate Batmobile,4.6
203,91.698,4.6,70656.0,"garmadon, Garmadon, GARMADON!",4.9
204,146.3878,4.1,10258.0,London Bus,4.6
205,12.432,2.0,41609.0,Chewbacca™,3.0
206,12.138,4.5,41602.0,Rey,5.0
207,32.9278,3.9,2000414.0,Starter Kit,3.9
208,67.0878,4.2,75532.0,Scout Trooper™ & Speeder Bike™,4.5
209,19.4922,4.5,70349.0,Ruina's Lock & Roller,4.5
210,121.9878,4.5,60161.0,Jungle Exploration Site,4.3
211,38.987,2.2,10845.0,My First Carousel,2.2
212,24.3878,5.0,21141.0,The Zombie Cave,5.0
213,24.3878,4.3,60164.0,Sea Rescue Plane,4.3
214,121.9878,4.2,60141.0,Police Station,4.7
215,71.37,4.5,41187.0,Rosalyn's Healing Hideout,4.3
216,109.7878,4.7,70632.0,Quake Mech,4.5
217,9.7478,3.2,10700.0,Green Baseplate,2.6
218,91.4878,4.6,41314.0,Stephanie's House,4.1
219,30.4878,4.4,21312.0,Women of NASA,4.6
220,60.9878,4.7,70631.0,Garmadon's Volcano Lair,4.3
221,36.5878,4.2,60138.0,High-speed Chase,4.2
222,52.1971,5.0,41323.0,Snow Resort Chalet,5.0
223,24.3878,3.0,41614.0,Owen & Blue,5.0
224,34.986,5.0,10878.0,Rapunzel´s Tower,5.0
225,12.0,4.5,60177.0,Airshow Jet,4.5
226,54.8878,5.0,42075.0,First Responder,5.0
227,6.9860000000000015,4.3,10707.0,Red Creativity Box,4.5
228,54.8878,4.5,41193.0,Aira & the Song of the Wind Dragon,5.0
229,219.539,4.7,10243.0,Parisian Restaurant,4.9
230,18.0,5.0,10847.0,Number Train,5.0
231,124.7922,4.6,42039.0,24 Hours Race Car,4.8
232,51.87000000000001,4.1,21314.0,TRON: Legacy,4.4
233,12.1878,4.0,41604.0,Iron Man MK50,4.7
234,45.1278,4.6,8293.0,Power Functions Motor Set,4.5
235,23.952,4.2,7895.0,Switching Tracks,4.1
236,111.986,4.5,70617.0,Temple of The Ultimate Ultimate Weapon,4.8
237,168.87,4.7,75191.0,Jedi Starfighter™ With Hyperdrive,4.7
238,262.6929,3.3,71042.0,Silent Mary,4.5
239,103.87,3.6,70615.0,Fire Mech,4.2
240,27.986,4.5,21140.0,The Chicken Coop,4.5
241,54.8878,4.8,71242.0,Ghostbusters™ Story Pack,4.2
242,10.1322,3.9,60106.0,Fire Starter Set,4.1
243,31.7078,4.0,70918.0,The Bat-Dune Buggy,4.5
244,32.9278,3.9,2000414.0,Starter Kit,3.9
245,54.83900000000001,4.5,76098.0,Speed Force Freeze Pursuit,4.8
246,12.1878,4.3,10733.0,Mater's Junkyard,4.7
247,42.6878,5.0,45508.0,EV3 Infrared Beacon,5.0
248,9.8724,4.7,10714.0,Blue Baseplate,4.7
249,61.098,4.8,76084.0,The Ultimate Battle for Asgard,4.3
250,263.952,3.9,75060.0,Slave I,4.8
251,199.99,4.2,10257.0,Carousel,4.4
252,48.7878,5.0,10744.0,Thunder Hollow Crazy 8 Race,5.0
253,223.986,4.9,10247.0,Ferris Wheel,4.9
254,21.9478,4.5,31058.0,Mighty Dinosaurs,4.7
255,92.7971,4.2,75185.0,Tracker I,4.3
256,49.6929,5.0,76097.0,Lex Luthor™ Mech Takedown,4.8
257,23.88,5.0,71246.0,Adventure Time™ Team Pack,4.7
258,24.3878,5.0,60180.0,Monster Truck,5.0
259,18.258,4.3,75166.0,First Order Transport Speeder Battle Pack,4.7
260,86.352,4.7,70614.0,Lightning Jet,5.0
261,30.4878,5.0,10754.0,Spider-Man vs. Scorpion Street Showdown,4.0
262,146.339,4.9,76108.0,Sanctum Sanctorum Showdown,5.0
263,59.99,5.0,41126.0,Heartlake Riding Club,5.0
264,288.5922,3.7,42070.0,6x6 All Terrain Tow Truck,3.5
265,143.88,3.2,76105.0,The Hulkbuster: Ultron Edition,3.8
266,29.99,3.5,70608.0,Master Falls,4.0
267,82.94779999999999,3.2,31069.0,Modular Family Villa,3.4
268,73.1878,3.9,60140.0,Bulldozer Break-in,3.3
269,91.698,4.6,70656.0,"garmadon, Garmadon, GARMADON!",4.9
270,21.9478,2.5,10742.0,Willy's Butte Speed Training,3.0
